epic,story_count,total_story_points,sprints,committed_count,stretch_count,in_progress_count,to_do_count,story_ids,spec_refs
EPIC 1. Authentication and User Management,9,44,Sprint 1,6,3,4,5,"CTMS-01, CTMS-02, CTMS-03, CTMS-04, CTMS-05, CTMS-06, CTMS-07, CTMS-08, CTMS-09","/file/spec/ctms-01-register-with-email-or-phone-number.md, /file/spec/ctms-02-verify-account-via-otp-or-email.md, /file/spec/ctms-03-log-in.md, /file/spec/ctms-04-refresh-authentication-session.md, /file/spec/ctms-05-reset-forgotten-password.md, /file/spec/ctms-06-manage-role-based-access-for-camper-host-porter-and-admin.md, /file/spec/ctms-07-update-personal-profile-and-emergency-contact.md, /file/spec/ctms-08-log-out-from-current-device-or-all-devices.md, /file/spec/ctms-09-store-important-health-information.md"
EPIC 2. Campsite and Zone Management,9,44,Sprint 2,1,8,0,9,"CTMS-10, CTMS-11, CTMS-12, CTMS-13, CTMS-14, CTMS-15, CTMS-16, CTMS-17, CTMS-18","/file/spec/ctms-10-create-campsite.md, /file/spec/ctms-11-edit-campsite-information.md, /file/spec/ctms-12-create-zones-in-campsite.md, /file/spec/ctms-13-schedule-campsite-or-zone-closure.md, /file/spec/ctms-14-update-zone-status.md, /file/spec/ctms-15-manage-campsite-images.md, /file/spec/ctms-16-approve-campsite-before-publishing.md, /file/spec/ctms-17-search-campsites.md, /file/spec/ctms-18-view-campsite-details.md"
EPIC 3. Trekking Route and Checkpoint Management,6,31,Sprint 2,4,2,0,6,"CTMS-19, CTMS-20, CTMS-21, CTMS-22, CTMS-23, CTMS-24","/file/spec/ctms-19-create-trekking-route-on-map.md, /file/spec/ctms-20-create-checkpoint-on-route.md, /file/spec/ctms-21-close-or-open-route-when-conditions-change.md, /file/spec/ctms-22-approve-route.md, /file/spec/ctms-23-mark-danger-zones-and-shelters.md, /file/spec/ctms-24-view-route-information-before-joining.md"
EPIC 4. Weather Risk Assessment,7,35,"Sprint 2, Sprint 3",6,1,0,7,"CTMS-25, CTMS-26, CTMS-27, CTMS-28, CTMS-29, CTMS-30, CTMS-37","/file/spec/ctms-25-fetch-weather-data-for-trekking-area.md, /file/spec/ctms-26-calculate-weather-risk-score-by-multiple-criteria.md, /file/spec/ctms-27-explain-risk-level-reasons.md, /file/spec/ctms-28-block-new-registration-when-route-is-red.md, /file/spec/ctms-29-use-llm-to-explain-weather-risk-as-clear-advice.md, /file/spec/ctms-30-configure-weather-risk-rules.md, /file/spec/ctms-37-view-risk-level-before-trekking-registration.md"
EPIC 5. Trip Management,9,64,Sprint 3,4,5,0,9,"CTMS-31, CTMS-32, CTMS-33, CTMS-34, CTMS-35, CTMS-36, CTMS-38, CTMS-39, CTMS-47","/file/spec/ctms-31-check-zone-capacity-by-date.md, /file/spec/ctms-32-create-trip.md, /file/spec/ctms-33-configure-overnight-stays-for-trip.md, /file/spec/ctms-34-approve-and-publish-trip.md, /file/spec/ctms-35-prevent-trip-and-zone-overcapacity.md, /file/spec/ctms-36-search-and-view-trip-details.md, /file/spec/ctms-38-edit-trip.md, /file/spec/ctms-39-manage-trip-images.md, /file/spec/ctms-47-cancel-trip-with-insufficient-participants.md"
EPIC 6. Booking and Payment,11,56,Sprint 3,5,6,0,11,"CTMS-40, CTMS-41, CTMS-42, CTMS-43, CTMS-44, CTMS-45, CTMS-46, CTMS-48, CTMS-49, CTMS-50, CTMS-51","/file/spec/ctms-40-create-booking-for-trip.md, /file/spec/ctms-41-add-members-to-booking.md, /file/spec/ctms-42-view-booking-details.md, /file/spec/ctms-43-pay-for-booking.md, /file/spec/ctms-44-automatically-expire-booking.md, /file/spec/ctms-45-cancel-booking-by-policy.md, /file/spec/ctms-46-process-refund.md, /file/spec/ctms-48-check-in-member.md, /file/spec/ctms-49-complete-booking.md, /file/spec/ctms-50-mark-member-as-no-show.md, /file/spec/ctms-51-add-services-to-booking.md"
EPIC 7. Equipment and Logistics,5,21,Sprint 3,0,5,0,5,"CTMS-52, CTMS-53, CTMS-54, CTMS-55, CTMS-56","/file/spec/ctms-52-manage-equipment-catalog.md, /file/spec/ctms-53-rent-equipment-with-booking.md, /file/spec/ctms-54-record-equipment-handover-at-check-in.md, /file/spec/ctms-55-record-damaged-lost-or-returned-equipment.md, /file/spec/ctms-56-receive-personalized-packing-list-for-trip.md"
EPIC 8. Porter Management,9,43,"Sprint 3, Sprint 4",0,9,0,9,"CTMS-57, CTMS-58, CTMS-59, CTMS-60, CTMS-61, CTMS-62, CTMS-63, CTMS-64, CTMS-71","/file/spec/ctms-57-create-experience-and-certification-profile.md, /file/spec/ctms-58-view-available-porters.md, /file/spec/ctms-59-invite-porter-to-campsite.md, /file/spec/ctms-60-respond-to-campsite-invitation.md, /file/spec/ctms-61-verify-porter-qualification-for-route.md, /file/spec/ctms-62-assign-porter-to-trekking-trip.md, /file/spec/ctms-63-view-assigned-trips.md, /file/spec/ctms-64-report-incident-during-trip.md, /file/spec/ctms-71-confirm-group-arrival-at-checkpoint.md"
EPIC 9. Offline Package,5,32,Sprint 4,4,1,0,5,"CTMS-67, CTMS-68, CTMS-69, CTMS-70, CTMS-72","/file/spec/ctms-67-create-offline-package-for-each-trip.md, /file/spec/ctms-68-download-offline-package-before-departure.md, /file/spec/ctms-69-verify-offline-package-integrity.md, /file/spec/ctms-70-view-route-checkpoints-and-survival-guidance-offline.md, /file/spec/ctms-72-warn-when-offline-package-is-outdated.md"
EPIC 10. GPS Navigation and Route Deviation,7,61,Sprint 4,3,4,0,7,"CTMS-73, CTMS-74, CTMS-75, CTMS-76, CTMS-77, CTMS-78, CTMS-79","/file/spec/ctms-73-view-current-location-on-offline-map.md, /file/spec/ctms-74-record-gps-breadcrumbs-during-trekking.md, /file/spec/ctms-75-warn-when-user-deviates-from-route.md, /file/spec/ctms-76-automatically-detect-checkpoint-arrival.md, /file/spec/ctms-77-show-direction-and-distance-back-to-route.md, /file/spec/ctms-78-adjust-gps-sampling-frequency.md, /file/spec/ctms-79-warn-when-progress-is-delayed.md"
EPIC 11. Buffer and Synchronization,7,42,"Sprint 4, Sprint 5",6,1,0,7,"CTMS-80, CTMS-81, CTMS-82, CTMS-83, CTMS-84, CTMS-85, CTMS-95","/file/spec/ctms-80-store-gps-logs-locally-when-offline.md, /file/spec/ctms-81-automatically-sync-gps-when-connection-returns.md, /file/spec/ctms-82-prevent-duplicate-gps-log-submission.md, /file/spec/ctms-83-retry-failed-synchronization.md, /file/spec/ctms-84-view-latest-synced-location-of-each-member.md, /file/spec/ctms-85-view-device-synchronization-status.md, /file/spec/ctms-95-prioritize-sos-and-dangerous-events-during-sync.md"
EPIC 12. AI Survival Assistant and RAG,9,64,"Sprint 4, Sprint 5",5,4,0,9,"CTMS-65, CTMS-66, CTMS-86, CTMS-87, CTMS-88, CTMS-89, CTMS-90, CTMS-91, CTMS-93","/file/spec/ctms-65-manage-survival-documents.md, /file/spec/ctms-66-split-documents-into-knowledge-chunks.md, /file/spec/ctms-86-use-rag.md, /file/spec/ctms-87-ask-ai-about-first-aid-and-survival.md, /file/spec/ctms-88-search-survival-guidance-offline.md, /file/spec/ctms-89-view-knowledge-sources-for-ai-answers.md, /file/spec/ctms-90-rate-ai-answers.md, /file/spec/ctms-91-view-ai-answers-reported-as-unsafe.md, /file/spec/ctms-93-detect-emergency-questions.md"
EPIC 13. SOS and Emergency Management,7,42,Sprint 5,6,1,0,7,"CTMS-92, CTMS-94, CTMS-96, CTMS-98, CTMS-99, CTMS-100, CTMS-110","/file/spec/ctms-92-send-sos-when-in-danger.md, /file/spec/ctms-94-create-sos-even-when-offline.md, /file/spec/ctms-96-cancel-accidental-sos.md, /file/spec/ctms-98-receive-sos-alerts-in-real-time.md, /file/spec/ctms-99-acknowledge-sos-handling.md, /file/spec/ctms-100-broadcast-emergency-alert-to-a-trip.md, /file/spec/ctms-110-review-missed-alerts-after-reconnection.md"
EPIC 14. Real-Time Communication,4,23,Sprint 5,2,2,0,4,"CTMS-97, CTMS-101, CTMS-102, CTMS-103","/file/spec/ctms-97-establish-authenticated-websocket-connection.md, /file/spec/ctms-101-automatically-reconnect-websocket.md, /file/spec/ctms-102-update-trip-seat-availability-in-real-time.md, /file/spec/ctms-103-measure-websocket-latency.md"
EPIC 15. Host Monitoring Dashboard,5,29,Sprint 5,2,3,0,5,"CTMS-104, CTMS-105, CTMS-106, CTMS-107, CTMS-108","/file/spec/ctms-104-view-active-trekking-trips-on-map.md, /file/spec/ctms-105-distinguish-real-time-and-last-seen-data.md, /file/spec/ctms-106-view-members-deviating-from-route-or-behind-schedule.md, /file/spec/ctms-107-manage-trip-incidents.md, /file/spec/ctms-108-view-booking-route-porter-and-alert-overview.md"
EPIC 16. Notifications,3,16,Sprint 5,1,2,0,3,"CTMS-109, CTMS-111, CTMS-112","/file/spec/ctms-109-receive-in-app-notifications.md, /file/spec/ctms-111-receive-push-notifications-in-background.md, /file/spec/ctms-112-configure-normal-notification-types.md"
EPIC 17. Reviews and Feedback,3,13,Sprint 5,0,3,0,3,"CTMS-113, CTMS-114, CTMS-115","/file/spec/ctms-113-review-campsite-trip-or-route.md, /file/spec/ctms-114-review-porter-after-trip.md, /file/spec/ctms-115-report-incorrect-information-or-dangerous-content.md"
