name,color,description
ctms,0e8a16,CTMS backlog item
epic,5319e7,Epic/module
story,1d76db,Story/flow
task,c2e0c6,Task/small feature
must-have,b60205,Must Have
should-have,d93f0b,Should Have
could-have,fbca04,Could Have
committed,0052cc,Committed sprint scope
stretch,c5def5,Stretch scope
post-defense,eeeeee,Post-defense scope
done-before-planning,0e8a16,Completed before planning
sprint-1,bfdadc,Sprint 1
sprint-2,bfdadc,Sprint 2
sprint-3,bfdadc,Sprint 3
sprint-4,bfdadc,Sprint 4
sprint-5,bfdadc,Sprint 5
ctms-epic-00,d4c5f9,Engineering Foundation
ctms-epic-01,d4c5f9,Authentication and User Management
ctms-epic-02,d4c5f9,Campsite and Zone Management
ctms-epic-03,d4c5f9,Trekking Route and Checkpoint Management
ctms-epic-04,d4c5f9,Weather Risk Assessment
ctms-epic-05,d4c5f9,Trip Management
ctms-epic-06,d4c5f9,Booking and Payment
ctms-epic-07,d4c5f9,Equipment and Logistics
ctms-epic-08,d4c5f9,Porter Management
ctms-epic-12,d4c5f9,AI Survival Assistant and RAG
ctms-epic-09,d4c5f9,Offline Package
ctms-epic-10,d4c5f9,GPS Navigation and Route Deviation
ctms-epic-11,d4c5f9,Buffer and Synchronization
ctms-epic-13,d4c5f9,SOS and Emergency Management
ctms-epic-14,d4c5f9,Real-Time Communication
ctms-epic-15,d4c5f9,Host Monitoring Dashboard
ctms-epic-16,d4c5f9,Notifications
ctms-epic-17,d4c5f9,Reviews and Feedback
ctms-epic-18,d4c5f9,Reports and Evaluation Metrics
ctms-epic-19,d4c5f9,Administration and Audit
